 ,1358567249666
THE,135282572736
S,178886193372
Y,102537226634
T,196191641756
A,184426382350
R,265018065772
OF,65523627358
D,120928097430
W,87873644954
P,124917872732
IN,83623373356
E,215021686066
AND,49488875000
TO,50432260640
O,224876604034
U,161933541144
C,125801201118
F,71294773756
N,139222646734
B,58074618534
IS,55364172778
ING,33295983146
RE,89502153142
ON,53485541526
L,160348334070
ED,29368012252
BE,29792486158
M,84637670580
H,81205514814
I,211258852556
G,73611510232
TH,29711315294
HA,29519407506
AL,41386779578
NO,21123154664
FOR,21531392988
HE,32863751684
MA,26321342400
THAT,16001536456
CE,32079576990
ES,23645021142
IT,44342060084
AS,26631972794
VE,41368395966
LE,36171533730
SE,41612673684
AT,45821901758
DE,34861415710
ST,34332999784
ME,39365571232
CA,24785592850
SO,18198604268
WITH,12118093650
CON,13596563436
AN,34842896690
WAS,11378615504
K,30549962516
TION,13845475116
X,13486008930
V,22461253864
Q,6814535740
J,9060357564
Z,3168795076
