 THE, ,THE,53438283701
THE ,THE, ,53105087931
Y ,Y, ,35375833680
S ,S, ,33251241170
 OF, ,OF,31984548349
OF ,OF, ,31054376467
D ,D, ,25285578677
E ,E, ,23037440069
AND ,AND, ,22791014750
 AND, ,AND,22673413006
 IN, ,IN,21800753819
 TO, ,TO,21799678541
 A, ,A,21713821024
TO ,TO, ,19443133508
IN ,IN, ,19051974313
A ,A, ,16938656841
T ,T, ,16861116966
 B, ,B,16821652824
 P, ,P,15437894252
 W, ,W,15062933173
 F, ,F,12008534913
 M, ,M,11558354704
ED ,ED, ,11282090203
 S, ,S,10979661383
 BE, ,BE,10615581945
N ,N, ,10216208700
 IS, ,IS,8906598220
IS ,IS, ,8817077710
 G, ,G,8763555133
 NO, ,NO,8653323427
R ,R, ,8139120185
 I, ,I,8126934965
 THAT, ,THAT,8000768228
THAT ,THAT, ,8000768228
ES ,ES, ,7712258235
 IT, ,IT,7509972139
 FOR, ,FOR,7404545726
L ,L, ,7291874069
 AS, ,AS,7269489005
 SE, ,SE,6980516013
ON ,ON, ,6966492886
LY,L,Y,6900373309
ING ,ING, ,6894545891
 RE, ,RE,6887012432
AL ,AL, ,6646244489
IT ,IT, ,6636880069
FOR ,FOR, ,6545282031
 MA, ,MA,6429576140
 HA, ,HA,6316179651
AS ,AS, ,6248895932
 DE, ,DE,6074821942
 ON, ,ON,6022470998
 CA, ,CA,5920469446
LE ,LE, ,5897569497
 E, ,E,5831841344
W ,W, ,5770176762
 D, ,D,5734029188
 WAS, ,WAS,5689307752
 SO, ,SO,5684887659
 C, ,C,5628758366
 WITH, ,WITH,5576182764
WAS ,WAS, ,5502713968
K ,K, ,5329960327
 AN, ,AN,5298871176
WITH ,WITH, ,5182797249
 CON, ,CON,5110379936
BE ,BE, ,4990849682
OR ,OR, ,4975015168
BY,B,Y,4841819894
 OR, ,OR,4836326795
O ,O, ,4807171534
 HE, ,HE,4763165498
 CO, ,CO,4669797307
SU,S,U,4648929585
CE ,CE, ,4603567131
I ,I, ,4595632630
 LI, ,LI,4592865893
NOT,NO,T,4540014733
 Y, ,Y,4492974245
AN ,AN, ,4492635350
 O, ,O,4360426396
ER ,ER, ,4237830491
ME ,ME, ,4231564542
HE ,HE, ,4110457083
 HIS, ,HIS,4058663164
 ARE, ,ARE,4052957264
 ME, ,ME,4022884831
ARE ,ARE, ,4018992351
EX,E,X,3948447866
M ,M, ,3929434127
 THIS, ,THIS,3826060334
THIS ,THIS, ,3826060334
 SH, ,SH,3799282098
F ,F, ,3742539423
AT ,AT, ,3713196641
 DI, ,DI,3709340697
 V, ,V,3663290243
HIS ,HIS, ,3611377789
 LE, ,LE,3609165136
 NE, ,NE,3567673160
 PRO, ,PRO,3565528786
 AT, ,AT,3563232501
CH ,CH, ,3559717898
 FROM, ,FROM,3469207674
FROM ,FROM, ,3469207674
YOU,Y,OU,3433775084
 LO, ,LO,3427090091
 LA, ,LA,3396422268
P ,P, ,3391525220
SE ,SE, ,3390644451
NT ,NT, ,3335173792
CI,C,I,3331981805
UT ,UT, ,3299160789
EN ,EN, ,3276952500
UL,U,L,3254050031
ST ,ST, ,3227150752
BUT,B,UT,3185690214
 TR, ,TR,3183988381
UP,U,P,3172343853
 ST, ,ST,3144457349
 WHICH, ,WHICH,3140226612
WHICH ,WHICH, ,3140226612
VE ,VE, ,3115825252
 J, ,J,3084021870
PO,P,O,3081339214
 AL, ,AL,3079111502
GE,G,E,3072378183
 CH, ,CH,3036849071
QU,Q,U,2958194371
 HO, ,HO,2868003412
MO,M,O,2837916772
ONE ,ONE, ,2830819743
ION ,ION, ,2798992034
 HAVE, ,HAVE,2788871388
HAVE ,HAVE, ,2786944609
 WA, ,WA,2773492550
DO,D,O,2755798342
LD,L,D,2754536178
DE ,DE, ,2727361118
GH,G,H,2676250772
AG,A,G,2656750245
OW,O,W,2649900770
OD,O,D,2648278819
HAD,HA,D,2616021603
ALL ,ALL, ,2608767437
H ,H, ,2580510894
TED ,TED, ,2575439360
 SI, ,SI,2569073759
AP,A,P,2524982035
 AC, ,AC,2522019144
 HI, ,HI,2510474470
IF,I,F,2504078155
SO ,SO, ,2487769914
 THEY, ,THEY,2462131290
THEY ,THEY, ,2462131290
 SA, ,SA,2444993984
 ALL, ,ALL,2440945040
OL,O,L,2409032273
OU ,OU, ,2394464470
WOR,W,OR,2386968575
KE,K,E,2366647147
 T, ,T,2357569542
URE,UR,E,2342825760
AB,A,B,2318465829
 PE, ,PE,2306453639
 US, ,US,2288894191
TUR,T,UR,2287735918
WERE ,WERE, ,2270487439
 WERE, ,WERE,2270487439
BLE,B,LE,2268122494
 RES, ,RES,2240121166
 ONE, ,ONE,2226688826
 EN, ,EN,2212727338
 TE, ,TE,2203309849
 TH, ,TH,2201146915
NG ,NG, ,2193286255
SS ,SS, ,2185913768
US ,US, ,2183704534
HER ,HER, ,2178145480
 THEIR, ,THEIR,2161342113
WE,W,E,2158718062
VI,V,I,2157297060
THEIR ,THEIR, ,2152980325
PLA,P,LA,2150681605
 K, ,K,2141252402
WHO,W,HO,2135743873
OUR,OU,R,2115134134
TE ,TE, ,2113417612
GO,G,O,2059553906
 MAN, ,MAN,2042524629
IDE,I,DE,2016647572
 DA, ,DA,1986603463
MENT ,MENT, ,1952440509
 TA, ,TA,1947569107
DS,D,S,1944948868
RY,R,Y,1917951703
TS ,TS, ,1892345087
PER,PE,R,1889832652
 INT, ,INT,1866313062
WN,W,N,1841618784
 HER, ,HER,1811470816
BO,B,O,1808189389
 COM, ,COM,1806420340
UCH,U,CH,1803093935
ATION ,ATION, ,1798475718
 U, ,U,1796769831
G ,G, ,1788210088
UM,U,M,1786342573
 COMP, ,COMP,1783431210
CAN,CA,N,1773011832
 AD, ,AD,1763376520
 UN, ,UN,1759075847
ITY,IT,Y,1745991034
 OTHER, ,OTHER,1736536017
 REA, ,REA,1729678335
ITS,IT,S,1722738208
OO,O,O,1720156591
ORE ,ORE, ,1715499050
 THERE, ,THERE,1713185243
FI,F,I,1710046060
 WILL, ,WILL,1691835631
MORE,M,ORE,1659636260
RD,R,D,1644927169
ET ,ET, ,1632503360
HAS,HA,S,1632148758
IAL,I,AL,1630365288
THERE ,THERE, ,1623700147
BEEN,BE,EN,1619043628
OSE,O,SE,1611452463
