 THE, ,THE,61724187914
THE ,THE, ,53097401461
 I, ,I,37693944565
 A, ,A,34947846919
 OF, ,OF,31291459932
OF ,OF, ,30988389330
S ,S, ,27935082245
N ,N, ,24515203939
IN,I,N,19606709436
E ,E, ,17977215114
A ,A, ,16020484508
T ,T, ,15864116157
AS,A,S,13338495255
 W, ,W,12893843493
RE,R,E,12014122016
IS,I,S,9504704268
AR,A,R,9107230312
IT,I,T,8697616610
 S, ,S,7718646354
WA,W,A,7716160030
AN,A,N,6923888551
Y ,Y, ,6581303261
AT,A,T,6295284509
R ,R, ,6254855660
SE,S,E,6010917183
ER,E,R,5862857854
WE,W,E,5250901904
 P, ,P,5243343720
ES,E,S,5114300189
TE,T,E,5020798155
 C, ,C,4668403150
EN,E,N,4471720349
I ,I, ,4349419712
ST,S,T,4065381331
NT,N,T,3820086483
CE,C,E,3739688318
PA,P,A,3191529542
CA,C,A,3186982679
EA,E,A,3185702172
IR,I,R,2887705799
TS,T,S,2663786547
THEY,THE,Y,2462131290
NE,N,E,2367472734
THER,THE,R,2365781118
TA,T,A,2244194892
PE,P,E,2210886376
THEI,THE,I,2161342113
 N, ,N,2134318962
 E, ,E,2084089055
 R, ,R,2049104799
 T, ,T,1895240129
RA,R,A,1874296621
RT,R,T,1851347441
AY,A,Y,1787159825
PR,P,R,1744586107
RI,R,I,1739998177
YE,Y,E,1676780935
NC,N,C,1614526696
ET,E,T,1581856057
EE,E,E,1580700815
 Y, ,Y,1450022863
SI,S,I,1397886862
THES,THE,S,1352669499
W ,W, ,1351401999
TI,T,I,1327217739
IE,I,E,1314559488
AC,A,C,1296171658
EW,E,W,1246788389
RS,R,S,1243531565
TY,T,Y,1207739244
AI,A,I,1194725010
TR,T,R,1165127600
SA,S,A,1162224853
SS,S,S,1133516879
EC,E,C,1093931134
NY,N,Y,1051020467
AP,A,P,1030468028
CI,C,I,960043165
CT,C,T,954564243
SP,S,P,917335846
THEN,THE,N,897663288
NS,N,S,851625805
IC,I,C,788643069
CR,C,R,682159186
RY,R,Y,548036228
EP,E,P,546718385
AW,A,W,529135131
PI,P,I,496740535
C ,C, ,484007460
SC,S,C,440249208
II,I,I,408177260
OFT,OF,T,404071107
PP,P,P,394644995
RN,R,N,390789676
P ,P, ,375571009
EI,E,I,369760525
WR,W,R,360665698
TT,T,T,344999104
ATHE,A,THE,331655666
ITHE,I,THE,324741557
WI,W,I,318947978
YS,Y,S,306385180
YP,Y,P,303177404
EY,E,Y,264823242
IP,I,P,244408600
SW,S,W,218874986
PT,P,T,216554612
RR,R,R,214011824
TW,T,W,211048804
CC,C,C,178790870
RC,R,C,170688144
IA,I,A,163022796
NN,N,N,162066358
NI,N,I,159108261
NA,N,A,148252362
WS,W,S,129587279
SY,S,Y,121359578
TN,T,N,95881129
PS,P,S,92826686
RP,R,P,91500939
SOF,S,OF,84598809
OFI,OF,I,70798813
ROF,R,OF,70798813
CS,C,S,65857060
THEA,THE,A,47985855
PY,P,Y,44552663
YN,Y,N,37910792
NTHE,N,THE,31585436
THEE,THE,E,30284547
AE,A,E,25065038
THET,THE,T,24578445
EOF,E,OF,22315098
STHE,S,THE,20089802
YW,Y,W,18991677
AA,A,A,17584118
YR,Y,R,16331823
PC,P,C,9697251
CY,C,Y,9687040
IW,I,W,8982408
SR,S,R,8414984
ETHE,E,THE,7577241
TC,T,C,6670700
CP,C,P,5991859
OFA,OF,A,5913402
YA,Y,A,5651368
