Seed,G Size,Instance Of Run,Cost Constraint,Actual Cost,Result,Time This Run,Time All Runs
G_12,16,1,2999999940000000,2567017604161970,sat,0:00:00,0:00:00
G_12,16,2,2567017574161970,2565539991891660,sat,0:00:00,0:00:00
G_12,16,3,2565539961891660,2536623251176250,sat,0:00:00,0:00:00
G_12,16,4,2536623221176250,2524705147482710,sat,0:00:00,0:00:00
G_12,16,5,2524705117482710,2518552934789450,sat,0:00:00,0:00:00
G_12,16,6,2518552904789450,2494074086794500,sat,0:00:00,0:00:00
G_12,16,7,2494074056794500,2492485230597880,sat,0:00:01,0:00:01
G_12,16,8,2492485200597880,2483154541211610,sat,0:00:01,0:00:02
G_12,16,9,2483154511211610,2475531340337110,sat,0:00:00,0:00:02
G_12,16,10,2475531310337110,2438392905369260,sat,0:00:01,0:00:03
G_12,16,11,2438392875369260,2431742038750640,sat,0:00:00,0:00:03
G_12,16,12,2431742008750640,2423865935831320,sat,0:00:02,0:00:06
G_12,16,13,2423865905831320,2423136032844500,sat,0:00:10,0:00:16
G_12,16,14,2423136002844500,2421169188631600,sat,0:00:00,0:00:17
G_12,16,15,2421169158631600,2419852092499990,sat,0:00:02,0:00:18
G_12,16,16,2419852062499990,2419306664045350,sat,0:00:20,0:00:38
G_12,16,17,2419306634045350,2410406934676340,sat,0:00:00,0:00:38
G_12,16,18,2410406904676340,2410406934676340,unsat,0:00:24,0:01:02
G_12,16,19,2410406934676340,2410406934676340,unsat,0:00:23,0:01:25
G_12,24,1,9999999800000000,7234211137712160,sat,0:00:00,0:00:00
G_12,24,2,7234211037712160,7067467110056890,sat,0:00:01,0:00:01
G_12,24,3,7067467010056890,7058041155090990,sat,0:00:00,0:00:01
G_12,24,4,7034452718967160,7001649717532890,sat,0:00:00,0:00:06
G_12,24,5,7001649617532890,6988526411124770,sat,0:00:00,0:00:06
G_12,24,6,6917384031380810,6910280384834880,sat,0:00:20,0:00:27
G_12,24,7,6910280284834880,6875443502336730,sat,0:00:01,0:00:28
G_12,24,8,6875443402336730,6866729517547550,sat,0:00:20,0:00:48
G_12,24,9,6866729417547550,6805965289992760,sat,0:00:23,0:01:11
G_12,24,10,6805965189992760,6796782326881420,sat,0:00:01,0:01:13
G_12,24,11,6796782226881420,6787702272593680,sat,0:25:16,0:26:29
G_12,24,12,6787702172593680,6775393102662650,sat,0:00:04,0:26:32
G_12,24,13,6775393002662650,6772084097232090,sat,0:00:00,0:26:33
G_12,24,14,6772083997232090,6755241021530680,sat,0:00:04,0:26:37
G_12,24,15,6755240921530680,6755241021530680,unknown,4:33:23,5:00:00
HPG_12,96,8,12692897879384500,12684503410584100,sat,0:16:49,0:19:21
HPG_12,96,9,12684503238313500,12684503410584100,unknown,4:40:38,4:59:59
HPG_12,96,7,12693113374408400,12692898051655100,sat,0:00:09,0:02:32
HPG_12,96,6,12698663460506400,12693113546679000,sat,0:01:04,0:02:23
HPG_12,96,5,12719239973441900,12698663632777000,sat,0:00:09,0:01:18
HPG_12,96,4,12753157783878500,12719240145712500,sat,0:00:04,0:01:09
HPG_12,96,3,12764671144015600,12753157956149200,sat,0:00:54,0:01:05
HPG_12,96,2,12784279988480600,12764671316286200,sat,0:00:03,0:00:11
HPG_12,96,1,17227064040798600,12784280160751200,sat,0:00:08,0:00:08
HPG_12,48,11,12862528121143100,12856574082776300,sat,0:16:22,4:35:46
HPG_12,48,12,12856573910505700,12856574082776300,unknown,0:24:13,5:00:00
HPG_12,48,10,12862821199057800,12862528293413800,sat,1:53:54,4:19:24
HPG_12,48,9,12864857053037200,12862821371328400,sat,0:02:42,2:25:30
HPG_12,48,8,12869826509824300,12864857225307800,sat,0:00:04,2:22:48
HPG_12,48,7,12871938294903100,12869826682094900,sat,2:18:10,2:22:44
HPG_12,64,15,12878599496289700,12870595619687100,sat,0:05:02,2:14:38
HPG_12,64,16,12870595447416500,12870595619687100,unknown,2:45:21,4:59:59
HPG_12,48,6,12872661879728000,12871938467173700,sat,0:04:10,0:04:34
HPG_12,48,5,12899368703782000,12872662051998600,sat,0:00:16,0:00:24
HPG_12,64,14,12878707095767500,12878599668560400,sat,0:00:24,2:09:36
HPG_12,64,13,12899641589971400,12878707268038200,sat,0:23:32,2:09:12
