E ,E, ,88723724002
S ,S, ,82015609026
 THE, ,THE,63854146954
T ,T, ,63172969066
 A, ,A,59726187284
THE ,THE, ,53111647576
RE,R,E,45923288019
N ,N, ,43742130031
D ,D, ,43502166173
 S, ,S,43099182864
ER,E,R,42463736747
ON,O,N,41732482581
R ,R, ,40226411933
Y ,Y, ,39596781586
 W, ,W,39316746030
AT,A,T,34719505392
EN,E,N,33849702777
 C, ,C,32876650962
 OF, ,OF,32309934049
OF ,OF, ,31054376467
 T, ,T,30051126183
TH,T,H,29638314152
ES,E,S,29401066231
 B, ,B,29398788076
OR,O,R,29321940225
 H, ,H,28719268257
TE,T,E,27797258490
IS,I,S,27682086389
IT,I,T,27656197389
TI,T,I,27415198200
 F, ,F,27290831981
 P, ,P,27174647120
ED,E,D,26875525136
 IN, ,IN,26011896002
AL,A,L,25713699890
AR,A,R,25444264824
 I, ,I,25347725087
 M, ,M,24740255131
AND ,AND, ,24258991753
AN,A,N,24225661922
HA,H,A,23457194887
SE,S,E,23360983929
ST,S,T,23153446082
L ,L, ,22982538926
 O, ,O,22972697137
 AND, ,AND,22673413006
AS,A,S,22264978342
OU,O,U,22177136302
 TO, ,TO,21833415591
VE,V,E,20684197983
TO ,TO, ,20659014238
NT,N,T,20315108577
IN ,IN, ,19987962278
 D, ,D,19814137321
IO,I,O,19715266703
ME,M,E,19682785616
H ,H, ,19079425964
CO,C,O,18794852085
LE,L,E,18556708542
A ,A, ,18448423876
 E, ,E,17848612945
DE,D,E,17648944473
 R, ,R,17539354577
G ,G, ,17399346837
EA,E,A,17293343511
HI,H,I,16978749706
RO,R,O,16857564703
ING,IN,G,16647991573
CE,C,E,16039788495
IC,I,C,15815038211
 L, ,L,15722688233
 N, ,N,15519243554
HE,H,E,15418725144
BE,B,E,14896243079
CH,C,H,14330053722
RA,R,A,14249877650
RI,R,I,13675999837
LL,L,L,13650246562
OM,O,M,13186711230
UR,U,R,12968485135
MA,M,A,12834383121
FO,F,O,12823566064
NE,N,E,12497842949
CA,C,A,12333696089
HO,H,O,12100675468
EL,E,L,12049209116
LI,L,I,11692780675
EC,E,C,11583264354
PR,P,R,11574865550
NO,N,O,11534511270
TA,T,A,11356234396
PE,P,E,11150887363
SI,S,I,11099637788
M ,M, ,10959760132
LA,L,A,10707198859
CT,C,T,10571970535
US,U,S,10550634275
AC,A,C,10539731116
WH,W,H,10450449577
 G, ,G,10082307682
WA,W,A,9980924343
LY,L,Y,9943487481
UT,U,T,9905463360
IL,I,L,9826423884
SO,S,O,9771958905
EE,E,E,9631216231
WE,W,E,9450375432
TR,T,R,9403575148
SS,S,S,9368141726
O ,O, ,9294890786
NS,N,S,9203896721
UN,U,N,8934337278
GE,G,E,8923345297
AD,A,D,8916754771
WI,W,I,8889529276
RS,R,S,8876467089
DI,D,I,8800228130
ET,E,T,8770024998
LO,L,O,8714826269
IE,I,E,8711149654
PO,P,O,8661403286
OT,O,T,8176907597
RT,R,T,8098317249
UL,U,L,8083479496
OW,O,W,8015610363
MO,M,O,7924882499
TS,T,S,7869083637
OL,O,L,7826275218
IR,I,R,7740013103
IM,I,M,7669669393
SU,S,U,7493360006
EM,E,M,7458691127
PA,P,A,7449006124
 U, ,U,7448917635
NC,N,C,7395989800
SH,S,H,7345479863
ND,N,D,7042477459
ID,I,D,6973809774
IV,I,V,6799827674
OS,O,S,6672371323
LD,L,D,6578503559
THER,THE,R,6488301378
AM,A,M,6465499351
EV,E,V,6462225445
PL,P,L,6369766579
RY,R,Y,6087425653
IG,I,G,6059085481
CI,C,I,6041008605
TU,T,U,5996836830
W ,W, ,5863052513
GH,G,H,5832244154
WO,W,O,5829636782
IA,I,A,5821069470
NA,N,A,5739117844
FE,F,E,5689883865
AY,A,Y,5571934096
MP,M,P,5523629646
FR,F,R,5445908253
 Y, ,Y,5441925328
TY,T,Y,5416294373
FI,F,I,5407720639
K ,K, ,5329960327
VI,V,I,5232629795
BL,B,L,5160080074
EX,E,X,5144738020
AV,A,V,5066039403
AB,A,B,5040373118
IF,I,F,5021320917
 V, ,V,5002847764
OP,O,P,4949310029
KE,K,E,4892640392
BY,B,Y,4841819894
I ,I, ,4835049613
NG,N,G,4762831234
SA,S,A,4626150779
UC,U,C,4623045854
AG,A,G,4592383368
MI,M,I,4561676023
OD,O,D,4548329607
AP,A,P,4514357330
BO,B,O,4473686977
GR,G,R,4431646821
BU,B,U,4428941486
OV,O,V,4393918039
NI,N,I,4374234493
RD,R,D,4337048833
DO,D,O,4257057855
SP,S,P,4249424570
AIN,A,IN,4094062975
RM,R,M,4083995384
OO,O,O,4062020423
YO,Y,O,4057140806
EF,E,F,4000854369
FA,F,A,3963586107
EP,E,P,3868162273
RN,R,N,3768659084
F ,F, ,3742539423
CU,C,U,3640445281
TT,T,T,3634044782
AI,A,I,3598328705
DU,D,U,3562875583
OC,O,C,3561590429
P ,P, ,3460867576
UE,U,E,3441146089
CL,C,L,3373042692
INT,IN,T,3370605585
QU,Q,U,3335632375
UP,U,P,3315209586
INE,IN,E,3296753497
LS,L,S,3286798966
HT,H,T,3284083951
UG,U,G,3237221988
PP,P,P,3232135916
UA,U,A,3179659333
GO,G,O,3162192558
GA,G,A,3142476518
CR,C,R,3104666332
 J, ,J,3084021870
DA,D,A,3076523970
C ,C, ,3059507175
SC,S,C,3032531085
TIN,T,IN,3005958733
VA,V,A,2998218694
IND,IN,D,2957008958
UM,U,M,2875785030
LU,L,U,2871206879
EW,E,W,2866756955
HIN,H,IN,2860972352
LT,L,T,2826395982
BA,B,A,2751591518
RC,R,C,2747653659
EG,E,G,2730905247
RU,R,U,2673985637
MU,M,U,2634515862
U ,U, ,2621872757
 K, ,K,2615390788
OTHE,O,THE,2608756438
FF,F,F,2590813636
AK,A,K,2516930165
NY,N,Y,2508796278
AU,A,U,2492794551
DS,D,S,2484253004
THEY,THE,Y,2462131290
RR,R,R,2456525948
PU,P,U,2419958275
RK,R,K,2399059680
YE,Y,E,2354855870
INC,IN,C,2341163200
MIN,M,IN,2320034836
YS,Y,S,2318688296
PT,P,T,2302764142
TL,T,L,2301086341
MS,M,S,2288526917
CK,C,K,2276262235
GI,G,I,2262246673
RIN,R,IN,2260900538
TOR,TO,R,2252792389
BR,B,R,2248658321
RG,R,G,2232995662
TW,T,W,2202010896
THEI,THE,I,2161342113
MM,M,M,2154892726
FU,F,U,2149827945
UI,U,I,2096509352
IB,I,B,2086286974
UD,U,D,2085333792
OB,O,B,2083970315
INS,IN,S,2079693887
RL,R,L,2027253522
WN,W,N,2015299606
MB,M,B,1966861282
CC,C,C,1958345257
HR,H,R,1942787081
DIN,D,IN,1923368038
SIN,S,IN,1919438214
UB,U,B,1917620187
LIN,L,IN,1847867200
GU,G,U,1846268979
DR,D,R,1818314928
KIN,K,IN,1784921461
PI,P,I,1784229086
IP,I,P,1756609433
AF,A,F,1744415478
BI,B,I,1743227988
STO,S,TO,1711655799
XP,X,P,1666010148
RV,R,V,1655728426
FT,F,T,1648127426
PH,P,H,1632687783
HU,H,U,1610569449
MY,M,Y,1584483920
INA,IN,A,1517678551
GN,G,N,1506493180
VO,V,O,1504909073
THEM,THE,M,1502605756
OK,O,K,1498693278
OG,O,G,1482691538
EI,E,I,1480310188
NL,N,L,1472905113
EQ,E,Q,1471822527
THES,THE,S,1423851120
AW,A,W,1398330011
JU,J,U,1385868262
FIN,F,IN,1362788801
 Q, ,Q,1361766992
LF,L,F,1357901630
KN,K,N,1311641219
JO,J,O,1292451006
NIN,N,IN,1288718656
NU,N,U,1288175858
FL,F,L,1258897928
EO,E,O,1252409062
SY,S,Y,1211852668
JE,J,E,1199888993
GL,G,L,1198697509
OIN,O,IN,1185278329
DY,D,Y,1172542512
OA,O,A,1170455785
INTO,IN,TO,1154006424
SM,S,M,1147666971
XT,X,T,1138222105
EY,E,Y,1110632389
VIN,V,IN,1100549365
INI,IN,I,1100086098
IZ,I,Z,1099938678
PS,P,S,1086750535
GS,G,S,1068247697
IK,I,K,1064966166
GIN,G,IN,1053987153
OFF,OF,F,1047840367
KS,K,S,1028207971
SL,S,L,1026700034
WIN,W,IN,1013617548
X ,X, ,992453704
